day,nominal_infections,lower_beta_infections,higher_beta_infections
141,0.9848968304619231,0.9644410673971681,0.9936624541881108
142,0.9857949435133299,0.9663122785747602,0.9940792002383558
143,0.986640374242269,0.968088278209975,0.9944686968391576
144,0.9874361297572758,0.969773576880533,0.9948327029118843
145,0.9881850542102082,0.9713725056807998,0.9951728689572105
146,0.988889837930954,0.972889217037884,0.9954907450807341
147,0.9895530244763338,0.9743276953094986,0.9957877770691148
148,0.9901770164077796,0.9756917573196403,0.9960653186353168
149,0.9907640847525588,0.9769850531053189,0.9963246411959915
150,0.9913163757190078,0.9782110768146922,0.9965669332337292
151,0.9918359126697416,0.9793731690386838,0.9967933019521297
152,0.9923246050436716,0.9804745186855927,0.9970047894731364
153,0.9927842575999417,0.9815181723052157,0.9972023700174623
154,0.9932165734113718,0.9825070377423333,0.9973869506603017
155,0.9936231527603205,0.9834438863233529,0.9975593828996655
156,0.9940055086731666,0.9843313612152699,0.9977204634513416
157,0.994365070292876,0.9851719816333079,0.997870937375414
158,0.9947031800222466,0.9859681456170385,0.9980115003289983
159,0.9950211021276296,0.9867221369708845,0.9981428003173957
160,0.9953200317750261,0.9874361297428804,0.9982654421384483
